bus real appr
 1.00000000e+00 9.76597912e-01 9.80206851e-01
 2.00000000e+00 9.59845269e-01 9.66136472e-01
 3.00000000e+00 9.48795847e-01 9.56870601e-01
 4.00000000e+00 9.32829373e-01 9.43538251e-01
 5.00000000e+00 9.19535856e-01 9.32759870e-01
 6.00000000e+00 9.13037259e-01 9.27503506e-01
 7.00000000e+00 9.09059931e-01 9.24292576e-01
 8.00000000e+00 9.08895775e-01 9.24150393e-01
 9.00000000e+00 9.08813697e-01 9.24079307e-01
 1.00000000e+01 8.98171957e-01 9.15520341e-01
 1.10000000e+01 8.75490119e-01 8.97291853e-01
 1.20000000e+01 8.72478126e-01 8.94676575e-01
 1.30000000e+01 8.70590302e-01 8.93037933e-01
 1.40000000e+01 8.67256763e-01 8.90144754e-01
 1.50000000e+01 8.64206360e-01 8.87492972e-01
 1.60000000e+01 8.63440320e-01 8.86834282e-01
 1.70000000e+01 8.67261989e-01 8.90713660e-01
 1.80000000e+01 8.63237299e-01 8.87500039e-01
 1.90000000e+01 8.60692129e-01 8.85468373e-01
 2.00000000e+01 8.59171485e-01 8.84267024e-01
 2.10000000e+01 8.58854694e-01 8.84016920e-01
 2.20000000e+01 8.58712546e-01 8.83904393e-01
 2.30000000e+01 8.57650689e-01 8.83067083e-01
 2.40000000e+01 8.56747901e-01 8.82355287e-01
 2.50000000e+01 8.56510360e-01 8.82168056e-01
 2.60000000e+01 8.56431180e-01 8.82105653e-01
 2.70000000e+01 8.57799446e-01 8.83192011e-01
 2.80000000e+01 8.56084962e-01 8.81843603e-01
 2.90000000e+01 8.55386521e-01 8.81294766e-01
 3.00000000e+01 8.54957961e-01 8.80958128e-01
 3.10000000e+01 8.54672257e-01 8.80733765e-01
 3.20000000e+01 8.54481785e-01 8.80584218e-01
 3.30000000e+01 8.65531379e-01 8.89331002e-01
 3.40000000e+01 8.65013405e-01 8.88916560e-01
 3.50000000e+01 8.64322724e-01 8.88364225e-01
 3.60000000e+01 8.64134380e-01 8.88213639e-01
 3.70000000e+01 8.64273271e-01 8.88326576e-01
 3.80000000e+01 8.63321769e-01 8.87567620e-01
 3.90000000e+01 8.62606238e-01 8.86997200e-01
 4.00000000e+01 9.17825513e-01 9.30462576e-01
 4.10000000e+01 9.16578617e-01 9.29371586e-01
 4.20000000e+01 9.15688163e-01 9.28592880e-01
 4.30000000e+01 9.14872071e-01 9.27879485e-01
 4.40000000e+01 9.14515928e-01 9.27568312e-01
 4.50000000e+01 9.14159771e-01 9.27257215e-01
 4.60000000e+01 9.13952013e-01 9.27075778e-01
 4.70000000e+01 9.13036457e-01 9.26300682e-01
 4.80000000e+01 9.10294020e-01 9.23919376e-01
 4.90000000e+01 9.07628928e-01 9.21605553e-01
 5.00000000e+01 9.05677975e-01 9.19911307e-01
 5.10000000e+01 9.03390856e-01 9.17924357e-01
 5.20000000e+01 9.02814992e-01 9.17423093e-01
 5.30000000e+01 9.02544234e-01 9.17191780e-01
 5.40000000e+01 9.02318755e-01 9.16998541e-01
 5.50000000e+01 9.02243596e-01 9.16934134e-01
