bus real appr
 1.00000000e+00 6.68881141e-02 6.67311225e-02
 2.00000000e+00 1.18249139e-01 1.17728150e-01
 3.00000000e+00 1.53364573e-01 1.52484044e-01
 4.00000000e+00 2.06868636e-01 2.05221183e-01
 5.00000000e+00 2.44768941e-01 2.42835607e-01
 6.00000000e+00 2.63966683e-01 2.61818155e-01
 7.00000000e+00 2.76007268e-01 2.73693619e-01
 8.00000000e+00 2.76204401e-01 2.73916737e-01
 9.00000000e+00 2.76302995e-01 2.74028324e-01
 1.00000000e+01 3.09997837e-01 3.07108209e-01
 1.10000000e+01 3.84939960e-01 3.80314180e-01
 1.20000000e+01 3.91842895e-01 3.86860484e-01
 1.30000000e+01 3.96552850e-01 3.91294823e-01
 1.40000000e+01 4.05728832e-01 3.99866579e-01
 1.50000000e+01 4.17168902e-01 4.10335844e-01
 1.60000000e+01 4.16971350e-01 4.10317930e-01
 1.70000000e+01 4.11237529e-01 4.06093516e-01
 1.80000000e+01 4.29149011e-01 4.23009487e-01
 1.90000000e+01 4.41794140e-01 4.34823238e-01
 2.00000000e+01 4.43707588e-01 4.37103449e-01
 2.10000000e+01 4.44107072e-01 4.37579351e-01
 2.20000000e+01 4.44286936e-01 4.37793604e-01
 2.30000000e+01 4.45627795e-01 4.39390491e-01
 2.40000000e+01 4.46771132e-01 4.40751666e-01
 2.50000000e+01 4.47072410e-01 4.41110273e-01
 2.60000000e+01 4.47172873e-01 4.41229846e-01
 2.70000000e+01 4.45427485e-01 4.39151938e-01
 2.80000000e+01 4.47595084e-01 4.41732256e-01
 2.90000000e+01 4.48480661e-01 4.42785995e-01
 3.00000000e+01 4.49024798e-01 4.43433326e-01
 3.10000000e+01 4.49387858e-01 4.43865183e-01
 3.20000000e+01 4.49630033e-01 4.44153224e-01
 3.30000000e+01 4.13398961e-01 4.08641817e-01
 3.40000000e+01 4.14049070e-01 4.09408001e-01
 3.50000000e+01 4.14917091e-01 4.10430799e-01
 3.60000000e+01 4.15154064e-01 4.10709986e-01
 3.70000000e+01 4.14976328e-01 4.10500587e-01
 3.80000000e+01 4.16172255e-01 4.11909345e-01
 3.90000000e+01 4.17073405e-01 4.12970568e-01
 4.00000000e+01 2.78953927e-01 2.75047951e-01
 4.10000000e+01 2.80433919e-01 2.76743003e-01
 4.20000000e+01 2.81493528e-01 2.77956335e-01
 4.30000000e+01 2.82466652e-01 2.79070449e-01
 4.40000000e+01 2.82891834e-01 2.79557178e-01
 4.50000000e+01 2.83317347e-01 2.80044252e-01
 4.60000000e+01 2.83565717e-01 2.80328539e-01
 4.70000000e+01 3.10002392e-01 3.04640829e-01
 4.80000000e+01 3.30325327e-01 3.23883486e-01
 4.90000000e+01 3.50669810e-01 3.43115456e-01
 5.00000000e+01 3.66805244e-01 3.58308748e-01
 5.10000000e+01 3.86879603e-01 3.77156314e-01
 5.20000000e+01 3.92645673e-01 3.82538360e-01
 5.30000000e+01 3.92597909e-01 3.82598660e-01
 5.40000000e+01 3.92870175e-01 3.82929431e-01
 5.50000000e+01 3.92960960e-01 3.83039720e-01
