bus appr real min max
 6.10000000e+01 9.57717429e-01 9.55812790e-01 9.31706305e-01 9.83728553e-01
 6.20000000e+01 9.56686945e-01 9.54770145e-01 9.30512515e-01 9.82861374e-01
 6.30000000e+01 9.56060494e-01 9.54130876e-01 9.29733007e-01 9.82387981e-01
 6.40000000e+01 9.54997370e-01 9.53051207e-01 9.28408038e-01 9.81586701e-01
 6.50000000e+01 9.54132640e-01 9.52187683e-01 9.27293061e-01 9.80972219e-01
 6.60000000e+01 9.53806718e-01 9.51845045e-01 9.26857282e-01 9.80756154e-01
 6.70000000e+01 9.54821489e-01 9.52752947e-01 9.26649652e-01 9.82993326e-01
 6.80000000e+01 9.54301654e-01 9.52199885e-01 9.25804030e-01 9.82799278e-01
 6.90000000e+01 9.53706060e-01 9.51566090e-01 9.24811544e-01 9.82600576e-01
 7.00000000e+01 9.53283762e-01 9.51116570e-01 9.24016695e-01 9.82550828e-01
 7.10000000e+01 9.53045554e-01 9.50862981e-01 9.23595547e-01 9.82495562e-01
 7.20000000e+01 9.53518127e-01 9.51383313e-01 9.24396344e-01 9.82639911e-01
 7.30000000e+01 9.52803634e-01 9.50646607e-01 9.23322609e-01 9.82284659e-01
 7.40000000e+01 9.52197458e-01 9.50031864e-01 9.22345016e-01 9.82049901e-01
 7.50000000e+01 9.51851097e-01 9.49662538e-01 9.21740902e-01 9.81961293e-01
 7.60000000e+01 9.52721739e-01 9.50545502e-01 9.22996739e-01 9.82446740e-01
 7.70000000e+01 9.52118152e-01 9.49902780e-01 9.21845456e-01 9.82390848e-01
 7.80000000e+01 9.51992433e-01 9.49769311e-01 9.21591953e-01 9.82392914e-01
 7.90000000e+01 9.51935863e-01 9.49714143e-01 9.21498186e-01 9.82373540e-01
 8.00000000e+01 9.51514795e-01 9.49251900e-01 9.20633469e-01 9.82396120e-01
 8.10000000e+01 9.51156661e-01 9.48863789e-01 9.19839656e-01 9.82473665e-01
 8.20000000e+01 9.51062428e-01 9.48761742e-01 9.19647970e-01 9.82476887e-01
 8.30000000e+01 9.51031019e-01 9.48727726e-01 9.19565708e-01 9.82496330e-01
 8.40000000e+01 9.50280421e-01 9.47926865e-01 9.18119436e-01 9.82441406e-01
 8.50000000e+01 9.49869386e-01 9.47487282e-01 9.17336456e-01 9.82402317e-01
 8.60000000e+01 9.51577634e-01 9.49305456e-01 9.20650887e-01 9.82504381e-01
 8.70000000e+01 9.50899106e-01 9.48569892e-01 9.19199070e-01 9.82599142e-01
 8.80000000e+01 9.50747661e-01 9.48408100e-01 9.18956580e-01 9.82538742e-01
 8.90000000e+01 9.50622753e-01 9.48270205e-01 9.18523440e-01 9.82722066e-01
 9.00000000e+01 9.50428055e-01 9.48062110e-01 9.18205493e-01 9.82650617e-01
 9.10000000e+01 9.50453197e-01 9.48086309e-01 9.18099555e-01 9.82806838e-01
 9.20000000e+01 9.50193615e-01 9.47808774e-01 9.17667221e-01 9.82720009e-01
 9.30000000e+01 9.50340169e-01 9.47963718e-01 9.17811065e-01 9.82869274e-01
 9.40000000e+01 9.50102227e-01 9.47709285e-01 9.17410648e-01 9.82793806e-01
 9.50000000e+01 9.50264822e-01 9.47882002e-01 9.17613830e-01 9.82915815e-01
 9.60000000e+01 9.50178299e-01 9.47789489e-01 9.17405945e-01 9.82950653e-01
 9.70000000e+01 9.54129041e-01 9.52018312e-01 9.25334080e-01 9.82924003e-01
 9.80000000e+01 9.53921366e-01 9.51801518e-01 9.25005181e-01 9.82837551e-01
 9.90000000e+01 9.53644507e-01 9.51517162e-01 9.24549897e-01 9.82739118e-01
 1.00000000e+02 9.53569009e-01 9.51443470e-01 9.24420997e-01 9.82717021e-01
 1.01000000e+02 9.53625632e-01 9.51480999e-01 9.24321520e-01 9.82929745e-01
 1.02000000e+02 9.53138465e-01 9.50961890e-01 9.23531263e-01 9.82745667e-01
 1.03000000e+02 9.52575561e-01 9.50361940e-01 9.22622401e-01 9.82528722e-01
 1.04000000e+02 9.51969411e-01 9.49715645e-01 9.21535403e-01 9.82403419e-01
 1.05000000e+02 9.53245035e-01 9.51076938e-01 9.23519620e-01 9.82970450e-01
 1.06000000e+02 9.52855344e-01 9.50661752e-01 9.22917407e-01 9.82793282e-01
 1.07000000e+02 9.52357440e-01 9.50131102e-01 9.22077553e-01 9.82637326e-01
 1.08000000e+02 9.52958861e-01 9.50776088e-01 9.22863808e-01 9.83053914e-01
 1.09000000e+02 9.51595165e-01 9.49362025e-01 9.20081803e-01 9.83108528e-01
 1.10000000e+02 9.50945886e-01 9.48696500e-01 9.18505612e-01 9.83386159e-01
 1.11000000e+02 9.50697012e-01 9.48430704e-01 9.17835241e-01 9.83558783e-01
 1.12000000e+02 9.50729473e-01 9.48476995e-01 9.18038313e-01 9.83420633e-01
 1.13000000e+02 9.50047822e-01 9.47797783e-01 9.16566809e-01 9.83528834e-01
 1.14000000e+02 9.49907172e-01 9.47647427e-01 9.16146368e-01 9.83667977e-01
