bus appr real min1 max1 min2 max2
 4.40000000e+01 9.63411671e-01 9.60569174e-01 8.95067167e-01 1.03175618e+00 9.32820773e-01 9.94002569e-01
 4.50000000e+01 9.63252328e-01 9.60399696e-01 8.88185413e-01 1.03831924e+00 9.32251633e-01 9.94253022e-01
 4.60000000e+01 9.63159385e-01 9.60300835e-01 8.80249658e-01 1.04606911e+00 9.31898199e-01 9.94420571e-01
 4.70000000e+01 9.62771408e-01 9.59882626e-01 9.08992126e-01 1.01655069e+00 9.33110856e-01 9.92431961e-01
 4.80000000e+01 9.61557130e-01 9.58588003e-01 9.02175840e-01 1.02093842e+00 9.30797825e-01 9.92316436e-01
 4.90000000e+01 9.60376634e-01 9.57329360e-01 8.95393335e-01 1.02535993e+00 9.28596541e-01 9.92156728e-01
 5.00000000e+01 9.59512185e-01 9.56407831e-01 8.90047279e-01 1.02897709e+00 9.26996044e-01 9.92028325e-01
 5.10000000e+01 9.58498281e-01 9.55327209e-01 8.83431367e-01 1.03356520e+00 9.25177214e-01 9.91819349e-01
 5.20000000e+01 9.58242679e-01 9.55055040e-01 8.79814559e-01 1.03667080e+00 9.24820423e-01 9.91664935e-01
 5.30000000e+01 9.58123647e-01 9.54927185e-01 8.77454724e-01 1.03879257e+00 9.24292376e-01 9.91954917e-01
 5.40000000e+01 9.58024320e-01 9.54820652e-01 8.71753388e-01 1.04429525e+00 9.23833107e-01 9.92215532e-01
 5.50000000e+01 9.57991213e-01 9.54785141e-01 8.66118272e-01 1.04986415e+00 9.23609492e-01 9.92372933e-01
